2018-10-18 08:16:30,612 [Worker-19: Launching KinematicFlee (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 08:16:30,619 [Worker-19: Launching KinematicFlee (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 08:17:46,848 [Worker-20: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 08:17:46,859 [Worker-20: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 08:17:46,860 [Worker-20: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 08:17:46,870 [Worker-20: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 08:18:22,268 [Worker-22: Launching KinematicFlee (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 08:18:22,276 [Worker-22: Launching KinematicFlee (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 08:18:22,277 [Worker-22: Launching KinematicFlee (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 08:18:22,287 [Worker-22: Launching KinematicFlee (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 08:18:29,410 [Worker-23: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 08:18:29,417 [Worker-23: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 08:18:29,418 [Worker-23: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 08:18:29,427 [Worker-23: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
